left_elbow_angle,right_elbow_angle,trunk_lean_angle,left_upper_arm_vertical,right_upper_arm_vertical,left_shoulder_angle,right_shoulder_angle,elbow_symmetry_ratio,left_forearm_neutral,right_forearm_neutral,_video,_frame_idx
57.56117369803528,87.28350579002749,3.6723172664642334,13.432893753051758,15.103297233581543,8.450732249767867,12.717041364984665,0.41040281489168184,50.32685541167477,76.31819912716982,hammer curl_10.mp4,51
69.24256537800777,96.46248526807072,2.09578013420105,12.957254409790039,20.497758865356445,10.161343871790722,19.177571017862387,0.3285345833930033,65.62855781688181,72.8963223227026,hammer curl_10.mp4,54
67.77987580033725,95.53557418497273,5.4200758934021,10.488656044006348,13.666017532348633,3.9765564646726848,9.357526296009079,0.3399029104366068,60.08470727245435,80.15719237719101,hammer curl_10.mp4,57
71.70687827123622,87.4816781963894,3.539461135864258,8.329025268554688,10.74525260925293,3.8464928138079486,8.139550605608923,0.19819012465712402,52.43957606169871,82.34549545843122,hammer curl_10.mp4,60
77.0938641006,91.62590333516954,2.5949528217315674,8.790071487426758,7.630106449127197,5.602906038629309,5.608674574157684,0.17226243795175672,59.13112446435934,75.4468026432802,hammer curl_10.mp4,63
92.20083752122427,112.2378050942052,2.129089117050171,7.176289081573486,9.32206916809082,3.8762608437260946,8.366611756173679,0.19601937595205585,58.775996815501536,73.41954222242825,hammer curl_10.mp4,66
106.28827637361944,130.8084972284492,0.764397382736206,5.775352954864502,9.006081581115723,3.148399978474535,10.067025965961115,0.20683723765877363,45.159354847341184,66.61188996070689,hammer curl_10.mp4,69
112.42995810089094,140.07580064123104,1.0697593688964844,6.16754150390625,7.841074466705322,3.30973302086442,8.678920072124878,0.21897197654469439,59.790678284067944,61.606275660393166,hammer curl_10.mp4,72
122.91813009425489,146.30940601659563,1.7408238649368286,5.0566792488098145,7.679021835327148,2.1429277601233885,7.174933032838214,0.17376585070191128,55.71600682019276,65.47546442211754,hammer curl_10.mp4,75
129.50819850968682,146.54500619010383,0.6783252358436584,4.449427604675293,9.385992050170898,1.9662263139383926,10.576483038369558,0.12343133418026887,44.93445468624297,57.64152977186056,hammer curl_10.mp4,78
