left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,trunk_lean_angle,left_knee_valgus,right_knee_valgus,knee_symmetry_ratio,hip_symmetry_ratio,knee_depth_score,_video,_frame_idx
179.01921475424916,177.72058402494582,174.6906050041991,174.10282402606754,1.352447509765625,0.23850396667530757,-0.5636936602971813,0.007280548644964233,0.0033703672673292893,87.72058402494582,squat_10.mp4,0
178.34743626271302,174.2412210039226,174.98917235565338,174.34538831240445,4.491921901702881,-0.41309260935197933,-1.4403950826011271,0.02329181710281289,0.0036857735576907888,84.24122100392259,squat_10.mp4,3
178.74617402167937,169.50601786018234,174.59727460210374,173.47730394935235,3.952190637588501,-0.3134582868590612,-2.62692381095917,0.053065889472601414,0.006435233836451088,79.50601786018234,squat_10.mp4,6
179.59894911428532,175.15701484873978,174.85623388397156,177.5715812146716,3.69923996925354,-0.09993907723653,-1.210214744856824,0.02504219642102201,0.015409381520808885,85.15701484873978,squat_10.mp4,9
178.7421227146454,169.32329064677074,173.5531721220832,173.2544758579498,4.244232654571533,-0.31421678252681373,-2.674753270430283,0.05412104567881641,0.001722547157613896,79.32329064677074,squat_10.mp4,12
174.59440997185092,166.7862248981671,169.97335933182313,171.38162626335662,4.6925740242004395,-1.3511931940412925,-3.312867677482231,0.04574474516784953,0.008251040652463673,76.78622489816709,squat_10.mp4,15
162.28960775075237,163.2846061265607,162.29358227921614,162.99876828707448,6.804903984069824,-4.4506158007037415,-4.195068877496771,0.006112267700557415,0.004335706060291364,72.28960775075237,squat_10.mp4,18
149.03836075556643,149.36917394947966,148.09988767188798,148.65031061573532,11.17088794708252,-7.8052893878766145,-7.757010850922509,0.002217190623153762,0.003709671953201819,59.03836075556643,squat_10.mp4,21
135.81079686488079,129.46612972173418,138.51877973536227,139.87930802483632,11.784445762634277,-11.332839577678227,-13.25470654059142,0.04783429320284307,0.009773977259829125,39.46612972173418,squat_10.mp4,24
120.95311779301034,104.48955048615517,125.83833334889515,126.71876851322624,12.869711875915527,-15.401884223751535,-21.061554357333666,0.14605546884734655,0.006972167148257394,14.489550486155167,squat_10.mp4,27
113.31777732148934,113.36806177822353,121.37182434631957,121.15243646549322,13.6227445602417,-17.725910108441223,-17.821145819007587,0.0004436488572369165,0.0018092035831135326,23.317777321489345,squat_10.mp4,30
98.47000073011556,89.9334347823139,107.97100681991625,108.74193485239508,14.552970886230469,-22.45933500594421,-26.088023041590024,0.0906200667156994,0.0071147392170471365,0.06656521768610446,squat_10.mp4,33
84.76514327718755,66.21796183816832,97.87383591319288,96.88749248121911,13.947957992553711,-27.197642128813282,-36.96389839370242,0.24568552123561896,0.010128740033815304,23.78203816183168,squat_10.mp4,36
68.25955092688983,60.49333691283782,80.85566910537008,77.0302112456403,15.219219207763672,-33.161255282208046,-38.11933646664716,0.12063751181595928,0.04845851764863406,29.50666308716218,squat_10.mp4,39
70.11078924438607,57.31958538395344,82.26118290488851,75.15449819530468,16.371068954467773,-32.89191766156122,-40.109128952784914,0.2007559641528036,0.09029195388813281,32.68041461604656,squat_10.mp4,42
58.398804026951154,57.624895549902135,72.67763935203989,73.0316813103012,16.643335342407227,-38.74437105787521,-38.90394424213406,0.013340524045889226,0.004859565011379651,32.375104450097865,squat_10.mp4,45
51.73415563637071,48.79254837799809,65.3039794404171,62.18581838453166,16.991830825805664,-42.096639063117365,-43.34396922570664,0.05852389745021704,0.04891624442242606,41.20745162200191,squat_10.mp4,48
