left_elbow_angle,right_elbow_angle,left_shoulder_abduction,right_shoulder_abduction,trunk_lean_angle,left_wrist_over_elbow,right_wrist_over_elbow,elbow_symmetry_ratio,shoulder_symmetry_ratio,head_forward_lean,_video,_frame_idx
15.106420642225935,35.42987928880422,115.82321796982649,107.35839342748218,5.749731540679932,6.755632220991756,13.485268778938284,0.8043113039266785,0.07585593176200518,3.8011345863342285,shoulder press_1.mp4,0
16.79593483838563,36.16898039030953,116.47527445707196,109.29000304883292,5.445308208465576,7.475843953079548,13.708781058686244,0.7315425869473697,0.06365258189936773,4.147021770477295,shoulder press_1.mp4,3
13.585638228505347,36.15995804470977,112.72183883241149,111.27874228724424,5.4018168449401855,7.174522828987874,13.450026275206975,0.9075906816844923,0.012884757155128834,4.337642192840576,shoulder press_1.mp4,6
17.802384773010925,36.10283892407937,112.17465109353944,113.94666563727402,5.2196269035339355,5.072037359886622,13.083393070018165,0.6789862983930544,0.015673131302734122,4.546174049377441,shoulder press_1.mp4,9
20.31550035911982,37.25130065738905,114.38299942877731,115.77722336334307,4.550368785858154,5.303344491537636,11.527665809865384,0.588387751246154,0.012115246654284088,4.8477091789245605,shoulder press_1.mp4,12
18.085074451724967,35.89029340404594,114.71996137379674,117.28818429286606,4.963896751403809,7.33777526744135,10.107780429235959,0.6597535008894723,0.02213907543366358,5.155208587646484,shoulder press_1.mp4,15
17.442479667580972,37.92427230429949,118.87284773677268,118.60812319184559,4.656229019165039,10.629015909364062,9.032177821026721,0.739858919198322,0.0022294379536342873,6.545110702514648,shoulder press_1.mp4,18
28.69542451727512,40.964796740451945,124.44640438149051,130.01588347959955,5.560300827026367,10.468716009852388,5.120354732264406,0.3522633721699769,0.04377449519081113,7.22222900390625,shoulder press_1.mp4,21
47.74104042503922,52.65274873971565,147.22386655573996,147.07597258130846,5.070878028869629,15.015402100051325,1.0856137066628968,0.09784884813174821,0.001005056440840434,9.192187309265137,shoulder press_1.mp4,24
98.15725590130047,80.14983686463262,162.49194648890563,178.34459660665624,4.996811389923096,14.928710023159734,4.138316809028766,0.20198208335219192,0.09302200975149508,6.260015964508057,shoulder press_1.mp4,27
129.34960974467575,110.41255630116716,129.63787954332025,148.50156733799852,5.734005928039551,15.005682862559697,8.934324108623038,0.15796531834708064,0.1356419451191858,8.167618751525879,shoulder press_1.mp4,30
145.8095982167097,134.34428836252582,108.98107936679537,131.17828818115206,5.954898834228516,12.373297241169608,10.69564933425006,0.0818500859950852,0.18485399125582763,5.3391337394714355,shoulder press_1.mp4,33
164.66474430967304,154.66683917218592,96.2421311870874,115.04112911563124,6.291619777679443,3.285176821588039,7.841127546388911,0.06261770306885475,0.17795066113244704,4.142780780792236,shoulder press_1.mp4,36
166.91244892151778,164.40271246759914,97.98492300615746,102.52222240934269,5.895981311798096,6.07213455709414,3.9949510995394317,0.01515014551942611,0.045258231508735806,4.308573246002197,shoulder press_1.mp4,39
166.47354404999953,160.995035090365,91.74911844788735,113.58536869984982,5.821784496307373,3.00654236774222,5.225861118250413,0.033459753445757266,0.2126895540567561,2.079796552658081,shoulder press_1.mp4,42
159.83437540272297,153.75043464793097,102.57507333912444,111.87398126214218,6.378794193267822,6.3538513296396,7.06507810410896,0.038802522059721234,0.08672370172307407,3.8380277156829834,shoulder press_1.mp4,45
151.89251856179672,144.28097988072543,100.65353610747191,125.2088418857558,6.783377647399902,10.436930384900155,9.003447858294178,0.05139918811843628,0.21743599794225282,4.405876159667969,shoulder press_1.mp4,48
143.4810911063838,135.35200172353333,117.09723099186242,124.71637820573225,6.014764308929443,10.689645792614622,10.368764678706064,0.05830792392930951,0.06301669487629173,6.715948581695557,shoulder press_1.mp4,51
134.88485449597678,124.89737714237613,124.04191183124149,134.56813999135517,5.8257622718811035,14.229998637909521,9.699444291334705,0.07689115064269972,0.08140617958140728,7.313614845275879,shoulder press_1.mp4,54
127.32078483540008,108.87868785037773,134.56310205413212,148.1381991380238,5.776718616485596,13.406796599168297,9.747568659427063,0.15615696999930512,0.09603844783625172,12.930941581726074,shoulder press_1.mp4,57
114.81884853950477,106.4080576960949,146.7494800752337,151.64229813789476,5.346197128295898,13.3952100204805,8.627681104973647,0.07603768444379586,0.03279459033329219,8.712955474853516,shoulder press_1.mp4,60
94.12183742917804,99.07008567277383,164.69916973056655,163.2044551736617,5.345562934875488,13.693717138923333,6.974629572219285,0.0512262434593032,0.009116791907020964,7.197606086730957,shoulder press_1.mp4,63
65.56553529595467,81.54101166918241,164.90497101499267,178.6077329941796,5.653935432434082,14.47786214602356,4.782887970218527,0.21719599437017278,0.07978023414715428,9.10295295715332,shoulder press_1.mp4,66
45.097969292985866,63.00801104658543,147.05507420615746,157.90361330913336,5.825873851776123,15.535188601815841,3.607391083138297,0.3313422938738893,0.07114759832793387,9.520590782165527,shoulder press_1.mp4,69
32.037835899150245,50.44360370876881,133.4379214950041,140.80335521427466,5.384053707122803,11.273187710734462,0.9461733692085579,0.4463008380336617,0.05371499000917065,8.906208038330078,shoulder press_1.mp4,72
28.720422129122706,42.95532972640327,126.73353666902952,132.05599409860397,5.601585865020752,8.281052807747793,1.4766267827630553,0.397202881832989,0.041133483366090864,8.741286277770996,shoulder press_1.mp4,75
32.04140223772248,44.91947718800564,129.94600904430936,133.67396169882758,5.316943168640137,8.41564227068166,1.6639533866243343,0.3346654832007546,0.028282778759205766,7.163620471954346,shoulder press_1.mp4,78
46.15062184996326,55.10593304793761,149.96785730263508,145.61271792584367,5.418862819671631,15.059698373849214,1.1004007438878831,0.1768835846134442,0.029468373376193374,7.401003837585449,shoulder press_1.mp4,81
85.00752762604891,83.03357156336538,169.53963473242604,175.99068224769061,5.656050682067871,16.00152182591778,4.719067778812164,0.023493729476959716,0.037339979725343746,4.921300411224365,shoulder press_1.mp4,84
120.41138110660984,104.98257735291722,143.70990084311475,149.89781244534538,6.34351921081543,13.934751219203543,8.911081499986564,0.13690521129441097,0.042150879027835375,10.539084434509277,shoulder press_1.mp4,87
140.54530210725912,129.94562595243812,117.94248202922948,130.8641756298662,6.210339069366455,13.81604028124437,8.61902204269345,0.07837361667435777,0.1038693556049571,8.332802772521973,shoulder press_1.mp4,90
162.75506918133178,154.39912197679752,100.58266490445281,111.52490738915954,6.502985000610352,5.236948132208117,6.863382527567672,0.05269327940470499,0.10317634930600025,3.686551332473755,shoulder press_1.mp4,93
169.5234702968151,165.4894728073875,93.33356410123456,107.83205571018817,5.800294876098633,2.4110484139937567,2.104791525401325,0.024082636641133408,0.14414482576639917,4.188265800476074,shoulder press_1.mp4,96
171.06571668990915,161.26521666902366,88.52994369359044,112.74286659012728,5.909074306488037,1.3294352203255433,5.752302049994646,0.05898036587704882,0.24059805060013692,2.178314208984375,shoulder press_1.mp4,99
166.469850488034,157.76987807785923,96.80516385580532,110.21012207866727,6.952270030975342,4.007018266360772,6.285001769914616,0.05366382737028932,0.12950694111646496,4.45274543762207,shoulder press_1.mp4,102
157.1858489025835,148.41392584609457,101.25834483207585,118.56388757802851,7.650609493255615,7.55257046011756,8.982432183558084,0.05740791572050643,0.15745034117993242,5.164723873138428,shoulder press_1.mp4,105
