left_elbow_angle,right_elbow_angle,trunk_lean_angle,left_upper_arm_vertical,right_upper_arm_vertical,left_shoulder_angle,right_shoulder_angle,elbow_symmetry_ratio,wrist_alignment_left,wrist_alignment_right,_video,_frame_idx
6.79508949133002,22.646327510936374,0.855854332447052,1.1338540315628052,14.927903175354004,6.42574597307101,18.763226248266143,1.0767985806108535,7.928891181945801,7.718408584594727,barbell biceps curl_1.mp4,0
8.423732852161436,24.633020913380278,1.672867774963379,0.33312830328941345,14.073040962219238,5.686478652239949,16.990927064089426,0.9806944853801929,8.0906343460083,10.559971809387207,barbell biceps curl_1.mp4,3
11.753963219753256,27.499580958485456,1.565307855606079,1.109673023223877,13.64084529876709,4.671896052951998,16.557820279431663,0.8022520293829274,10.64431095123291,13.858726501464844,barbell biceps curl_1.mp4,6
19.34628269535405,30.28188590867178,1.156739592552185,0.7586795687675476,14.895955085754395,5.047369941851034,18.719413003800696,0.4407014613241495,18.587602615356445,15.385927200317383,barbell biceps curl_1.mp4,9
20.07950010540204,30.743193067997296,1.4211326837539673,3.1698248386383057,13.348970413208008,3.3292550276320174,17.315969149223967,0.41964297036413833,16.90966796875,17.39421272277832,barbell biceps curl_1.mp4,12
21.948871167245798,34.98932170601119,1.6841620206832886,2.0638365745544434,13.274532318115234,4.163018658288172,16.504962881607213,0.45805635481944823,19.885032653808594,21.714784622192383,barbell biceps curl_1.mp4,15
24.61220934313074,40.91007054041754,2.496680498123169,3.1077046394348145,15.822894096374512,3.6743439957833854,18.16616474681342,0.49747540000905754,21.504493713378906,25.08717155456543,barbell biceps curl_1.mp4,18
24.82553532678917,44.019141477802876,2.5173685550689697,3.5547127723693848,14.77499771118164,3.3663900613857076,17.033112026852674,0.557591582730285,21.27082633972168,29.244136810302734,barbell biceps curl_1.mp4,21
31.805069483493075,48.609573838121534,2.220391273498535,3.3948633670806885,14.654584884643555,2.990877337886333,16.93372062111435,0.41794637544855184,28.410202026367188,33.954986572265625,barbell biceps curl_1.mp4,24
39.09544143556483,63.32804332014395,3.541215658187866,3.6624937057495117,15.749902725219727,4.1193215730421855,16.71484767352969,0.47318448385888306,35.43295669555664,47.57814025878906,barbell biceps curl_1.mp4,27
50.41587869342486,81.40174597997152,3.206516742706299,0.5742194056510925,17.78554916381836,7.963090213283486,19.185293840855884,0.4701323872785621,50.99009323120117,63.61619567871094,barbell biceps curl_1.mp4,30
59.58194222512891,86.07325413090275,2.678086996078491,0.6918759346008301,17.6597900390625,7.852904878963826,19.99931174314059,0.3637537495197894,60.27381896972656,68.41345977783203,barbell biceps curl_1.mp4,33
91.73865284578827,86.19386764436383,1.9595727920532227,0.6598110795021057,13.48143196105957,7.222815422737748,16.77417526782714,0.06232458446775405,87.60153198242188,72.7124252319336,barbell biceps curl_1.mp4,36
112.31484311316542,125.94194005860739,2.625434398651123,1.923516869544983,14.644414901733398,9.089234305418978,16.881877561545277,0.11439000194691135,65.76163482666016,68.70246887207031,barbell biceps curl_1.mp4,39
132.08524913848285,129.94564377061712,2.2754933834075928,0.6412295699119568,12.270400047302246,7.655553090325774,15.110482379551197,0.0163309397919578,47.27351760864258,62.324764251708984,barbell biceps curl_1.mp4,42
143.01675792300466,141.6405859063048,1.3882215023040771,3.190293788909912,10.556841850280762,8.883430601785824,13.835741206229757,0.009668972514020614,33.79295349121094,48.916263580322266,barbell biceps curl_1.mp4,45
147.81951668821188,149.86199511546366,1.7722671031951904,3.543381452560425,9.866844177246094,9.637942953013958,12.743619774913144,0.013722574941764057,28.63709831237793,40.004844665527344,barbell biceps curl_1.mp4,48
151.78841468102684,154.3466613074005,2.4063804149627686,3.2124502658843994,10.069540977478027,9.63594372755411,12.01553828190909,0.016713188569547434,24.999134063720703,35.72286605834961,barbell biceps curl_1.mp4,51
159.44717576160426,161.05868902369406,2.1513493061065674,2.751765012741089,8.327679634094238,9.256206641788477,10.911578183306924,0.010056060990767378,17.801061630249023,27.268997192382812,barbell biceps curl_1.mp4,54
164.04041440894483,164.55105499465208,2.2661280632019043,1.6556222438812256,7.8730058670043945,8.45291638203587,10.51129360385532,0.003108057471084553,14.303947448730469,23.32195472717285,barbell biceps curl_1.mp4,57
169.46979719589154,165.95457491360727,1.5978411436080933,2.2102577686309814,5.495436668395996,8.395384272904963,8.859492340753336,0.020959850115701974,8.319945335388184,19.540851593017578,barbell biceps curl_1.mp4,60
170.43498866069058,168.5576564008376,1.1648298501968384,2.6279313564300537,4.768935680389404,8.75223450227146,9.046177652187799,0.011075946851367445,6.9370927810668945,16.211286544799805,barbell biceps curl_1.mp4,63
171.1874407857309,171.7087838637621,0.10388398915529251,3.5606589317321777,4.193267822265625,8.309667944360566,9.193853500531267,0.003040821336333596,5.25187349319458,12.484500885009766,barbell biceps curl_1.mp4,66
170.88906500942943,171.7861333316335,0.628324568271637,4.310251235961914,2.8568058013916016,8.54012591768805,8.691901171501051,0.005235676970769362,4.800683975219727,11.070671081542969,barbell biceps curl_1.mp4,69
172.30606366988826,172.86985685444728,0.8073188662528992,4.637536525726318,2.275028705596924,8.50791587676352,8.126394359691977,0.003266700549114746,3.056407928466797,9.405184745788574,barbell biceps curl_1.mp4,72
172.8207207694439,172.2039385626438,0.3974221348762512,4.4041218757629395,2.583461046218872,8.799129649454192,8.108061061105039,0.0035752934760900934,2.7751665115356445,10.379532814025879,barbell biceps curl_1.mp4,75
169.278443232604,171.50123002059235,0.2669898569583893,5.89246940612793,3.414989471435547,11.030765081374003,8.581970619020574,0.013045301480389902,4.829065799713135,11.91374397277832,barbell biceps curl_1.mp4,78
169.75225843191794,169.53984164682623,0.805035412311554,4.471384525299072,4.739843845367432,10.068881825157767,9.313905770879803,0.001252117482501987,5.7763543128967285,15.200021743774414,barbell biceps curl_1.mp4,81
