left_elbow_angle,right_elbow_angle,body_alignment_angle,hip_sag_deviation,head_alignment_angle,elbow_symmetry_ratio,shoulder_width_ratio,left_shoulder_angle,right_shoulder_angle,_video,_frame_idx
171.950357418583,174.81911400472674,44.84060753064523,0.5205965638160706,52.23187255859375,0.016545612128824265,3.146811052280097,95.74541695281593,87.86398961936266,push-up_1.mp4,0
172.53160458987495,175.23428450793537,42.23893838976764,0.4956042766571045,57.44172286987305,0.015543099555116447,2.41653474069347,94.51793456448672,86.60410221650794,push-up_1.mp4,3
173.72998988051245,170.57355985834292,41.55145080266405,0.48905515670776367,55.96510314941406,0.018335158174021697,2.340355522350107,95.8505497546612,87.83164164991716,push-up_1.mp4,6
173.28443072723343,176.39603199313834,40.39206746186974,0.47137451171875,57.25644302368164,0.01779682651811838,3.266477173618513,94.4528008970431,86.0106919216951,push-up_1.mp4,9
173.23189346186933,170.9057732312737,40.56133372272194,0.47715288400650024,56.66814041137695,0.013518544790214726,2.1404563523104123,96.20600725400415,85.82674386052946,push-up_1.mp4,12
169.61791153091758,169.22573939493648,34.32311004152257,0.3823468089103699,50.326637268066406,0.002314767503593651,2.0442031956864817,89.63519814553105,83.28192016285323,push-up_1.mp4,15
165.7020570464314,167.88676887159724,32.79257573874614,0.3656979501247406,43.487152099609375,0.013098231447972267,1.604658269560803,90.16345869478245,83.98065124966185,push-up_1.mp4,18
161.85399001231607,161.73495280844136,29.761753089906506,0.3231460452079773,40.908775329589844,0.0007357309729872231,1.6396599944685053,93.02099353839091,78.95298426173655,push-up_1.mp4,21
162.03162744111424,78.84483489131783,20.900193891618926,0.22627146542072296,36.5802116394043,0.6907008824713711,4.019761719384779,89.39862772770881,13.255185246617014,push-up_1.mp4,24
155.6319424032309,74.37747612329703,21.07314623258688,0.22844679653644562,36.11172866821289,0.7065316437949472,3.4807870390022977,88.48991538709099,4.259977191145362,push-up_1.mp4,27
142.3583067884713,40.300888646811075,19.903792292415062,0.2140428125858307,40.80213165283203,1.117462692184254,2.737544143642268,79.16957507059873,23.322751233488585,push-up_1.mp4,30
148.52194059702578,16.172957384020584,17.50934757783571,0.1846068650484085,40.6954460144043,1.6072019817910372,2.5792611796505,80.95675174735632,22.866561102305347,push-up_1.mp4,33
146.82146338452438,44.763243540362694,17.356174252712947,0.1891235113143921,38.69699478149414,1.065410924309055,3.105667465658948,79.06955027629162,21.610396545493924,push-up_1.mp4,36
149.35258863027153,94.01866630688049,15.166895775533078,0.16202740371227264,31.775482177734375,0.45472849566955165,4.389254174927409,75.59847842130799,18.455991966968103,push-up_1.mp4,39
151.31622793331488,139.06118808463427,13.722338763249013,0.1476779580116272,32.04818344116211,0.08440766514654216,2.4145147356065566,74.12810553084357,62.53225432690274,push-up_1.mp4,42
156.25986875333118,155.5373257452083,17.140891623489466,0.18829748034477234,40.83346939086914,0.004634698585309137,1.30818850698883,77.11370072668069,71.08248834465716,push-up_1.mp4,45
160.71528343406698,163.47019624325083,18.10027196127976,0.20950807631015778,46.9456787109375,0.016995905010464923,1.422723855064058,78.01758501878923,69.84448289039123,push-up_1.mp4,48
167.2296399196094,166.4739236816227,15.456673823881744,0.16539713740348816,53.335384368896484,0.004529266812923707,1.666452307401939,75.87055547709235,71.85995653969415,push-up_1.mp4,51
170.86139279567607,165.14510116969254,16.25983099521156,0.17886494100093842,56.845855712890625,0.03402488778429797,2.857228299261168,78.25189633112545,67.1662480356913,push-up_1.mp4,54
173.79461216828832,172.02009048225804,16.98425267832951,0.18755348026752472,54.46573257446289,0.010262846966477756,2.3631700514555303,76.1793261683978,69.87513989252301,push-up_1.mp4,57
174.6252024902827,173.01640741460602,15.84480433820994,0.1760493665933609,56.526817321777344,0.009255480528449008,2.673558923092086,76.95244210786883,70.9274080400776,push-up_1.mp4,60
173.03488562091022,171.3640048979484,14.549158709367674,0.16172663867473602,55.24903106689453,0.009703171345555293,2.8989528519362455,74.63339159845779,70.16548075449943,push-up_1.mp4,63
167.3157026449955,167.7556450683095,13.141029001395651,0.14682547748088837,53.36015701293945,0.0026259626573049695,2.2395408727943975,72.36739881001498,66.08488726979223,push-up_1.mp4,66
153.74563998218173,146.65799503544466,16.230361356555164,0.18958048522472382,52.31634521484375,0.04718747791664505,2.452794543779589,71.78805321013367,47.418895281917635,push-up_1.mp4,69
147.1616237548973,124.81313991357395,11.497900288956004,0.12999656796455383,47.304840087890625,0.16434233485401947,3.000335253166884,66.32573449829026,33.927081183697304,push-up_1.mp4,72
140.59429674451124,110.11250879553381,9.187417584849186,0.10066169500350952,42.13093185424805,0.24316681697823805,2.6481174005608095,60.80944132185915,27.985575080323983,push-up_1.mp4,75
131.11214445977623,69.20593891367662,8.259706581279374,0.08828309923410416,34.842655181884766,0.6180790521112157,3.4438272953915696,55.981902298323696,8.50399080378098,push-up_1.mp4,78
115.39312572703176,40.59497096740621,4.717211568558497,0.054251112043857574,36.89806365966797,0.959023878676412,3.5743867649973353,40.39077100246899,25.755807841103454,push-up_1.mp4,81
118.15867960055616,54.099387358563696,1.260363925707054,0.014115685597062111,34.26472091674805,0.7437595622989891,3.1510291473960743,38.99215056491049,24.709641446092697,push-up_1.mp4,84
112.72483228571393,42.430342316868746,5.995739945929614,0.07229172438383102,41.254119873046875,0.9061185377658049,3.353600580969623,39.51971244571182,31.875655938619705,push-up_1.mp4,87
121.21511293319513,64.66946022447765,6.838793241836385,0.07783310115337372,33.80192947387695,0.608395325638495,3.54364997773726,45.833900213662226,8.065722788796903,push-up_1.mp4,90
132.69589102619253,95.12224706235934,6.605537830210778,0.07173454016447067,38.603668212890625,0.3298564748099951,3.0941459176917645,51.7295883795415,12.232594358984363,push-up_1.mp4,93
145.497883265607,137.73774828652734,4.367984238525992,0.04961145669221878,43.21817398071289,0.054796318786263065,2.7237452834684,59.61584752696592,49.71922879032126,push-up_1.mp4,96
157.17806422528196,158.4288797562418,8.493684701219166,0.09381920099258423,46.855560302734375,0.007926413247948474,1.8028687178504255,65.90497881546976,64.78558749705826,push-up_1.mp4,99
161.76722297090777,170.6503323747206,8.875797689546147,0.10311800241470337,52.829673767089844,0.05344548903006453,3.046586238850184,69.54330412785833,59.62361839136067,push-up_1.mp4,102
163.91582728867397,158.91052325453882,11.196808841697958,0.1246647760272026,63.91012954711914,0.031009265666900085,1.214017528892029,76.0631404132619,61.451015486749114,push-up_1.mp4,105
171.14640795351298,167.4844520406107,10.94931011908696,0.12442968785762787,55.96406173706055,0.021628010589264182,2.845541227744293,71.99682876269785,60.347466945206456,push-up_1.mp4,108
172.4687049060264,168.66575251857338,12.882888189868595,0.14573059976100922,57.10880661010742,0.02229591473205885,2.5442182379430953,75.07037987514167,64.83092139453518,push-up_1.mp4,111
175.62175943208828,169.32091300628713,10.855417374306597,0.1229059100151062,55.928958892822266,0.03653271647291949,2.5930883252139725,74.16932208520377,60.52248056328909,push-up_1.mp4,114
174.33704140712618,167.99002420307096,11.0275697119028,0.12429642677307129,54.29031753540039,0.03708159734750554,2.4853939115808257,75.75429411778799,60.461660947931605,push-up_1.mp4,117
173.37270690725424,172.3965607618771,11.304965054946365,0.12848563492298126,53.822879791259766,0.005646228491950354,2.330916779352824,73.52625481718742,62.12468422774459,push-up_1.mp4,120
162.27275366739232,159.0222392782882,9.614804319663165,0.10688763856887817,62.603782653808594,0.02023383159073177,1.1506128124508386,74.64152674930587,64.57743329836084,push-up_1.mp4,123
160.03786708330279,167.85030314472212,8.506207536549965,0.09634386748075485,48.90580749511719,0.04765305229515473,2.7483140745812786,69.26180007634858,58.9992750029754,push-up_1.mp4,126
150.38862684024528,150.46316333630622,11.568087208282037,0.12877634167671204,40.147308349609375,0.0004955030915202644,1.7733213824880514,68.97746828721829,60.657069145960165,push-up_1.mp4,129
144.5258379586861,122.5801232667176,9.245606047682628,0.10480062663555145,39.7763671875,0.16432216331891666,2.55788368830168,64.35224197095876,36.78665830495953,push-up_1.mp4,132
144.20948300512214,91.34914370148482,10.096367510131557,0.11320510506629944,38.10342025756836,0.44880835011384185,3.2344771034683366,62.598540935812075,4.521383862932095,push-up_1.mp4,135
123.67891237127634,40.33843586607493,1.4492892073704695,0.015628617256879807,35.90946960449219,1.01623977464382,3.3610290193760584,44.46492182658863,32.18639493401124,push-up_1.mp4,138
116.66505478306539,38.60713625658062,0.04845664264328775,0.0005527781322598457,35.67169189453125,1.0054333361799996,3.0262311885883952,36.85844303021752,33.52151118061606,push-up_1.mp4,141
128.00199551415236,47.02210074646409,1.0618313081745896,0.011621500365436077,34.268184661865234,0.9253570965120897,3.8430565258063396,44.900906942351014,34.13965381429916,push-up_1.mp4,144
129.75997158437815,56.9795834443832,5.79565741640036,0.06576257199048996,33.9107551574707,0.7794855045979459,3.4188466796091466,49.09363832512107,22.66846419201786,push-up_1.mp4,147
171.950357418583,174.81911400472674,44.84060753064523,0.5205965638160706,52.23187255859375,0.016545612128824265,3.146811052280097,95.74541695281593,87.86398961936266,push-up_1.mp4,0
172.53160458987495,175.23428450793537,42.23893838976764,0.4956042766571045,57.44172286987305,0.015543099555116447,2.41653474069347,94.51793456448672,86.60410221650794,push-up_1.mp4,3
173.72998988051245,170.57355985834292,41.55145080266405,0.48905515670776367,55.96510314941406,0.018335158174021697,2.340355522350107,95.8505497546612,87.83164164991716,push-up_1.mp4,6
